cum_n_games,season,competition,round,date,team,venue,opponent,result,goals,cum_goals,minutes_played
28,2020,Primera División,Matchweek 19,2020-11-18,Univ Católica,Away,Coquimbo Unido,L,0,18,90
29,2020,Primera División,Matchweek 20,2020-11-22,Univ Católica,Home,Antofagasta,W,1,19,31
30,2020,Sudamericana,Round of 16,2020-11-26,Univ Católica,Away,River Plate,W,1,20,45
31,2020,Sudamericana,Round of 16,2020-12-03,Univ Católica,Home,River Plate,L,0,20,90
32,2020,Sudamericana,Quarter-finals,2020-12-08,Univ Católica,Away,Vélez Sarsfield,W,1,21,90
33,2020,Primera División,Matchweek 21,2020-12-23,Univ Católica,Away,U de Chile,D,0,21,90
34,2020,Primera División,Matchweek 26,2020-12-27,Univ Católica,Away,Audax Italiano,D,2,23,90
35,2020,Primera División,Matchweek 22,2020-12-30,Univ Católica,Home,Wanderers,D,1,24,90
36,2020,Primera División,Matchweek 28,2021-01-07,Univ Católica,Away,Iquique,W,0,24,90
37,2020,Primera División,Matchweek 29,2021-01-10,Univ Católica,Home,Curico Unido,D,1,25,90
38,2020,Primera División,Matchweek 30,2021-01-14,Univ Católica,Away,Unión Española,D,1,26,90
39,2020,Primera División,Matchweek 31,2021-01-19,Univ Católica,Home,Everton,D,0,26,90
40,2020,Primera División,Matchweek 23,2021-01-25,Univ Católica,Home,Palestino,L,0,26,90
41,2020,Primera División,Matchweek 24,2021-01-30,Univ Católica,Away,O'Higgins,L,0,26,90
42,2020,Primera División,Matchweek 32,2021-02-05,Univ Católica,Away,La Serena,W,0,26,90
43,2020,Primera División,Matchweek 33,2021-02-10,Univ Católica,Home,La Calera,D,0,26,90
44,2020,Primera División,Matchweek 34,2021-02-14,Univ Católica,Away,U Concepción,W,1,27,90
45,2019,Supercopa,Final,2021-03-21,Univ Católica,Home,Colo-Colo,W,1,28,90
46,2021,Primera División,Matchweek 2,2021-04-04,Univ Católica,Home,Palestino,W,1,29,90
47,2021,Primera División,Matchweek 3,2021-04-10,Univ Católica,Away,Audax Italiano,L,0,29,90
48,2021,Primera División,Matchweek 4,2021-04-16,Univ Católica,Home,Curico Unido,W,1,30,90
49,2021,Libertadores,Group stage,2021-04-22,Univ Católica,Away,Nacional,L,0,30,90
50,2021,Libertadores,Group stage,2021-04-29,Univ Católica,Home,Arg Juniors,L,0,30,90
51,2021,Primera División,Matchweek 6,2021-05-02,Univ Católica,Away,Deportes Melipilla,L,0,30,90
52,2021,Libertadores,Group stage,2021-05-05,Univ Católica,Home,Nacional,W,1,31,90
53,2021,Primera División,Matchweek 7,2021-05-08,Univ Católica,Home,La Calera,W,0,31,18
54,2021,Libertadores,Group stage,2021-05-12,Univ Católica,Away,Arg Juniors,W,1,32,90
55,2021,Libertadores,Group stage,2021-05-18,Univ Católica,Away,Nacional,L,0,32,90
56,2021,Primera División,Matchweek 8,2021-05-22,Univ Católica,Away,Unión Española,L,1,33,90
57,2021,Primera División,Matchweek 9,2021-05-30,Univ Católica,Home,Cobresal,W,2,35,90
58,2021,Primera División,Matchweek 10,2021-06-05,Univ Católica,Away,Wanderers,W,0,35,90
59,2020,Copa Chile,Second Round 1st leg,2021-06-23,Univ Católica,Away,CD Iquique,D,0,35,88
60,2020,Copa Chile,Second Round 2nd leg,2021-06-27,Univ Católica,Home,CD Iquique,D,1,36,90
61,2020,Copa Chile,last 16 1st leg,2021-07-01,Univ Católica,Away,CD Everton,D,0,36,90
62,2020,Copa Chile,last 16 2nd leg,2021-07-03,Univ Católica,Home,CD Everton,L,0,36,90
63,2021,Libertadores,Round of 16,2021-07-14,Univ Católica,Home,Palmeiras,L,0,36,90
64,2021,Primera División,Matchweek 11,2021-07-17,Univ Católica,Home,Colo-Colo,D,0,36,90
65,2021,Libertadores,Round of 16,2021-07-21,Univ Católica,Away,Palmeiras,L,0,36,90
66,2021,Primera División,Matchweek 12,2021-07-25,Univ Católica,Home,O'Higgins,W,0,36,90
67,2021,Primera División,Matchweek 13,2021-07-29,Univ Católica,Away,Antofagasta,L,1,37,90
68,2021,Primera División,Matchweek 14,2021-08-01,Univ Católica,Away,U de Chile,L,1,38,90
69,2021,Primera División,Matchweek 15,2021-08-07,Univ Católica,Home,La Serena,W,2,40,90
70,2021,Primera División,Matchweek 17,2021-08-22,Univ Católica,Home,Everton,W,0,40,90
71,2021,Primera División,Matchweek 18,2021-08-25,Univ Católica,Home,Ñublense,D,0,40,90
72,2021,Primera División,Matchweek 19,2021-08-28,Univ Católica,Away,Palestino,L,0,40,90
